############################################################################################################
# SARS-CoV domain general terms
#
# A small vocabulary of concepts related to the above. 
# Produced by SciBite Limited 2020
# Distributed under GPL
# Please retain this header in any copies of this file
# Data, licence and information at https://scibite.info/cv19
#
# Format:
# Identifier <tab> Primary Name <tab> Synonyms (separated by pipe characters)
# Hash character (#) denotes a comment
#
# Please note: SciBite customers may obtain a version of this file suitable for use in TERMite, please
# contact us via the helpdesk
#
############################################################################################################
#identifier	name	syns
NCBITaxon_264371	SARS coronavirus TW-HP1	SARS coronavirus TW-HP1
NCBITaxon_2042698	SARS-related betacoronavirus Rp3/2004	SARS-related betacoronavirus Rp3/2004
NCBITaxon_2042697	SARS-related bat coronavirus RsSHC014	SARS-related bat coronavirus RsSHC014
NCBITaxon_256753	SARS coronavirus GZ02	SARS coronavirus GZ02
GO_0075720	establishment of episomal latency	establishment of plasmid latency
GO_0075606	transport of viral material towards nucleus	viral genome transport to host cell nucleus | cytoplasmic inwards viral transport | transport of viral material to nucleus
GO_0039629	T=219 icosahedral capsid	T=219 icosahedral capsid
GO_0039508	suppression by virus of host receptor activity	downregulation by virus of host receptor activity | suppression by virus of host receptor function | negative regulation by virus of host receptor activity | down-regulation by virus of host receptor activity | viral inhibition of host receptor
GO_0039509	suppression by virus of host pattern recognition receptor activity	down regulation by virus of host pattern recognition receptor activity | negative regulation by virus of host pattern recognition receptor activity | down-regulation by virus of host pattern recognition receptor activity | suppression by virus of host pattern recognition receptor function
GO_0039502	suppression by virus of host type I interferon-mediated signaling pathway	negative regulation by virus of host type I interferon-mediated signaling pathway | suppression by virus of host type I interferon-mediated signalling pathway | suppression by virus of host type I IFN-mediated signaling pathway
GO_0039623	T=25 icosahedral viral capsid	T=25 icosahedral viral capsid
GO_0039503	suppression by virus of host innate immune response	inhibition of host innate immune response by virus | suppression by virus of host innate immunity | negative regulation by virus of host innate immune response | negative regulation by virus of host innate immunity
GO_0039624	viral outer capsid	outer capsid
GO_0039621	T=13 icosahedral viral capsid	T=13 icosahedral viral capsid
NCBITaxon_249069	SARS coronavirus HSZ-A	SARS coronavirus HSZ-A
NCBITaxon_249068	SARS coronavirus HSZ2-A	SARS coronavirus HSZ2-A
GO_0039501	suppression by virus of host type I interferon production	negative regulation by virus of host type I interferon production | suppression by virus of host interferon type I production | suppression by virus of host type I IFN production
GO_0039622	T=16 icosahedral viral capsid	T=16 icosahedral viral capsid
NCBITaxon_229206	SARS coronavirus CUHK-Su10	SARS coronavirus CUHK-Su10
NCBITaxon_249067	SARS coronavirus HGZ8L1-B	SARS coronavirus HGZ8L1-B
GO_0039506	modulation by virus of host molecular function	modification by virus of host protein function
GO_0039627	T=147 icosahedral capsid	T=147 icosahedral capsid
NCBITaxon_249066	SARS coronavirus HGZ8L1-A	SARS coronavirus HGZ8L1-A
GO_0039507	suppression by virus of host molecular function	negative regulation by virus of host molecular function | down regulation by virus of host protein function | negative regulation by virus of host protein function | down-regulation by virus of host protein function
GO_0039628	T=169 icosahedral viral capsid	T=169 icosahedral capsid
NCBITaxon_249065	SARS coronavirus GZ-D	SARS coronavirus GZ-D
GO_0039504	suppression by virus of host adaptive immune response	negative regulation by virus of host adaptive immunity | suppression by virus of host acquired immune response | inhibition of host adaptive immune response by virus | negative regulation by virus of host adaptive immune response
GO_0039625	viral inner capsid	inner capsid
GO_0039505	suppression by virus of host antigen processing and presentation of peptide antigen via MHC class II	suppression by virus of host antigen processing and presentation of peptide antigen via MHC class II
GO_0039626	viral intermediate capsid	intermediate capsid
NCBITaxon_249064	SARS coronavirus GZ-C	SARS coronavirus GZ-C
NCBITaxon_231522	SARS coronavirus GZ50	SARS coronavirus GZ50
NCBITaxon_249063	SARS coronavirus GZ-B	SARS coronavirus GZ-B
NCBITaxon_249062	SARS coronavirus GZ-A	SARS coronavirus GZ-A
GO_0034290	holin activity	holin activity
GO_0034291	canonical holin activity	canonical holin activity
NCBITaxon_231520	SARS coronavirus HKU-65806	SARS coronavirus HKU-65806
NCBITaxon_231521	SARS coronavirus HKU-66078	SARS coronavirus HKU-66078
GO_0034292	pinholin activity	pinholin activity
NCBITaxon_253435	SARS coronavirus PUMC03	SARS coronavirus PUMC03
GO_0036472	suppression by virus of host protein-protein interaction	suppression by virus of host protein interaction | suppression by virus of host protein binding | suppression by virus of host protein:protein binding | suppression by virus of host protein:protein interaction
GO_0039620	T=7 icosahedral viral capsid	T=7 icosahedral viral capsid
NCBITaxon_253434	SARS coronavirus PUMC02	SARS coronavirus PUMC02
NCBITaxon_253433	SARS coronavirus PUMC01	SARS coronavirus PUMC01
GO_0006948	induction by virus of host cell-cell fusion	induction by virus of cell-cell fusion in host | viral-induced cell-cell fusion | viral-induced host cell-cell fusion
NCBITaxon_255730	SARS coronavirus Sino1-11	SARS coronavirus Sino1-11
NCBITaxon_285267	SARS coronavirus HHS-2004	SARS coronavirus HHS-2004
GO_0075713	establishment of integrated proviral latency	prophage integration | provirus integration
GO_0039618	T=pseudo3 icosahedral viral capsid	T=pseudo3 icosahedral viral capsid
GO_0039619	T=4 icosahedral viral capsid	T=4 icosahedral viral capsid
GO_0039612	modulation by virus of host protein phosphorylation	modulation by virus of host protein phosphorylation
NCBITaxon_255729	SARS coronavirus Sino3-11	SARS coronavirus Sino3-11
GO_0039613	suppression by virus of host protein phosphorylation	viral inhibition of host protein phosphorylation
NCBITaxon_1503300	BtRf-BetaCoV/SX2013	BtRf-BetaCoV/SX2013
GO_0039611	suppression by virus of host translation initiation factor activity	suppression by virus of host EIF-4E activity | inhibition of activity of host translation initiation factor
GO_0039616	T=2 icosahedral viral capsid	T=2 icosahedral viral capsid
NCBITaxon_1503302	BtRs-BetaCoV/HuB2013	BtRs-BetaCoV/HuB2013
GO_0039617	T=3 icosahedral viral capsid	T=3 icosahedral viral capsid
NCBITaxon_1503301	BtRs-BetaCoV/GX2013	BtRs-BetaCoV/GX2013
GO_0039614	induction by virus of host protein phosphorylation	induction by virus of host protein phosphorylation
NCBITaxon_1503303	BtRs-BetaCoV/YN2013	BtRs-BetaCoV/YN2013
NCBITaxon_698398	recombinant SARSr-CoV	recombinant SARSr-CoV
GO_0039615	T=1 icosahedral viral capsid	T=1 icosahedral viral capsid
GO_0075502	endosome membrane permeabilization involved in viral entry into host cell	endosome membrane permeabilization involved in viral entry into host cell
GO_0075503	fusion of virus membrane with host macropinosome membrane	viral entry into host cell via macropinocytosis followed by membrane fusion with the endosome membrane
GO_0075504	macropinosomal membrane permeabilization involved in viral entry into host cell	macropinosomal membrane permeabilization involved in viral entry into host cell
GO_0075505	entry of intact viral capsid into host nucleus through nuclear pore complex	entry of intact viral capsid into host nucleus through nuclear pore complex
GO_0075506	entry of viral genome into host nucleus through nuclear pore complex via importin	entry of viral genome into host nucleus via cellular importin transport through the nuclear pore complex
GO_0075507	entry of viral genome into host nucleus via docking of viral capsid to the nuclear pore complex and injection of viral genome	entry of viral genome into host nucleus via docking of viral capsid to the nuclear pore complex and injection of viral genome
GO_0075508	entry of viral genome into host nucleus via retainment of capsid in nuclear pore complex and release of genome into nucleoplasm	entry of viral genome into host nucleus via attachment of capsid to nuclear pore complex and release of genome into nucleoplasm
GO_0075509	endocytosis involved in viral entry into host cell	virus endocytosis by host | viral penetration via endocytosis followed by endosome disruption
NCBITaxon_353145	SARS coronavirus ZJ02	SARS coronavirus ZJ02
GO_0039722	suppression by virus of host toll-like receptor signaling pathway	inhibition of host TLR pathway by virus | suppression by virus of host TLR signaling pathway
GO_0039602	suppression by virus of host transcription initiation from RNA polymerase II promoter	inhibition of host transcription initiation by virus | suppression by virus of host DNA-dependent transcription, initiation
GO_0039723	suppression by virus of host TBK1 activity	inhibition of host TBK1 by virus
GO_0039600	induction by virus of host endonucleolytic cleavage-dependent mRNA catabolic process	induction by virus of host endonucleolytic cleavage-dependent mRNA decay | induction by virus of host nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay
NCBITaxon_249089	SARS coronavirus HZS2-Bb	SARS coronavirus HZS2-Bb
GO_0039606	suppression by virus of host translation initiation	suppression by virus of host translation initiation
NCBITaxon_249088	SARS coronavirus ZS-C	SARS coronavirus ZS-C
NCBITaxon_249087	SARS coronavirus LC5	SARS coronavirus LC5
GO_0060139	positive regulation of apoptotic process by virus	positive regulation of apoptotic process by virus
GO_0036338	viral membrane	viral membrane
GO_0039724	suppression by virus of host IKBKE activity	inhibition of host IKBKE by virus
GO_0039604	suppression by virus of host translation	viral shutoff of host protein synthesis | host translation shutoff by virus | viral inhibition of cellular protein synthesis
NCBITaxon_249086	SARS coronavirus LC4	SARS coronavirus LC4
NCBITaxon_249085	SARS coronavirus LC3	SARS coronavirus LC3
NCBITaxon_249084	SARS coronavirus LC2	SARS coronavirus LC2
NCBITaxon_249083	SARS coronavirus LC1	SARS coronavirus LC1
NCBITaxon_249082	SARS coronavirus ZS-A	SARS coronavirus ZS-A
NCBITaxon_249081	SARS coronavirus ZS-B	SARS coronavirus ZS-B
NCBITaxon_249080	SARS coronavirus HSZ-Cc	SARS coronavirus HSZ-Cc
GO_0075732	viral penetration into host nucleus	viral import into host nucleus | viral entry into host nucleus
GO_0075733	intracellular transport of virus	viral genome transport in host cell | movement of virus within host cell | egress of virus within host cell | intracellular transport of viral material
GO_1903652	modulation by virus of host cytoplasmic transport	regulation by virus of host cytoplasmic streaming | regulation by virus of host cytoplasmic transport | viral modulation of host cytoplasmic trafficking
GO_0039711	cytoplasmic helical capsid assembly	cytoplasmic helical capsid assembly
GO_0039712	induction by virus of host catalytic activity	induction by virus of host enzyme activity
GO_0039710	cytoplasmic icosahedral capsid assembly	cytoplasmic icosahedral capsid assembly
NCBITaxon_249079	SARS coronavirus HSZ-Bc	SARS coronavirus HSZ-Bc
NCBITaxon_249078	SARS coronavirus HGZ8L2	SARS coronavirus HGZ8L2
NCBITaxon_249077	SARS coronavirus HZS2-C	SARS coronavirus HZS2-C
NCBITaxon_249076	SARS coronavirus HZS2-Fc	SARS coronavirus HZS2-Fc
NCBITaxon_249075	SARS coronavirus HZS2-E	SARS coronavirus HZS2-E
NCBITaxon_249074	SARS coronavirus HZS2-D	SARS coronavirus HZS2-D
GO_0050690	regulation of defense response to virus by virus	regulation by virus of antiviral response | regulation of antiviral response by virus | viral regulation of antiviral response
NCBITaxon_249073	SARS coronavirus JMD	SARS coronavirus JMD
NCBITaxon_249072	SARS coronavirus HZS2-Fb	SARS coronavirus HZS2-Fb
NCBITaxon_249071	SARS coronavirus HSZ-Cb	SARS coronavirus HSZ-Cb
NCBITaxon_249070	SARS coronavirus HSZ-Bb	SARS coronavirus HSZ-Bb
GO_0075522	IRES-dependent viral translational initiation	IRES-dependent viral translational initiation
GO_0075523	viral translational frameshifting	ribosomal frameshifting involved in viral translation
GO_0075524	ribosomal skipping	ribosomal skipping
GO_0075525	viral translational termination-reinitiation	viral translation involving termination re-initiation | termination reinitiation involved in viral translation | viral translation involving termination-reinitiation | viral translation involving translational stop-start
GO_0075526	cap snatching	cap snatching involved in viral mRNA transcription
GO_0075527	viral RNA editing	RNA editing involved in viral mRNA transcription
GO_0075528	modulation by virus of host immune response	regulation by virus of host immune system process
GO_0075529	establishment of latency as a circular episome	establishment of circular plasmid latency | establishment of latency as a circular plasmid
GO_0039708	nuclear capsid assembly	nuclear capsid assembly
GO_0039709	cytoplasmic capsid assembly	cytoplasmic capsid assembly
GO_0039707	pore formation by virus in membrane of host cell	pore formation in membrane of host cell by virus
NCBITaxon_242743	SARS coronavirus FRA	SARS coronavirus FRA
GO_0060153	modulation by virus of host cell cycle	regulation of host cell cycle by virus | viral process regulating host cell cycle | modulation of host cell cycle by virus | regulation by virus of host cell cycle
GO_0039700	fusion of viral membrane with host outer nuclear membrane	fusion of viral membrane with host outer nuclear membrane involved in nuclear egress | viral primary envelope fusion with host outer nuclear membrane
GO_0039701	microtubule-dependent intracellular transport of viral material towards cell periphery	microtubule-dependent intracellular transport of viral material towards cell periphery
NCBITaxon_253634	SARS coronavirus HB	SARS coronavirus HB
GO_0039704	viral translational shunt	ribosomal shunt initiation pathway
GO_0039705	viral translational readthrough	viral stop codon readthrough
GO_0039702	viral budding via host ESCRT complex	viral budding via host ESCRT complex
GO_0075520	actin-dependent intracellular transport of virus	actin-dependent intracellular transport of viral material
GO_0075521	microtubule-dependent intracellular transport of viral material towards nucleus	microtubule-dependent intracellular transport of viral material to nucleus
GO_0075511	macropinosome lysis involved in viral entry into host cell	macropinosome lysis involved in viral entry into host cell
NCBITaxon_321149	SARS coronavirus BJ202	SARS coronavirus BJ202
GO_0075512	clathrin-dependent endocytosis of virus by host cell	viral penetration via clathrin-mediated endocytosis | clathrin-mediated endocytosis of virus by host cell
GO_0075513	caveolin-mediated endocytosis of virus by host cell	viral penetration via caveolae-mediated endocytosis followed by endosome disruption | viral entry into host cell via caveolae-mediated endocytosis
GO_0075514	endosome lysis involved in viral entry into host cell	viral entry into host cell via caveolae-mediated endocytosis followed by endosome lysis
NCBITaxon_321147	SARS coronavirus BJ162	SARS coronavirus BJ162
GO_0075519	microtubule-dependent intracellular transport of viral material	microtubule-dependent intracellular transport of viral material
NCBITaxon_240550	SARS coronavirus TWJ	SARS coronavirus TWJ
NCBITaxon_228330	SARS coronavirus Urbani	SARS coronavirus Urbani
GO_0060140	modulation by virus of syncytium formation via plasma membrane fusion	modulation by virus of syncytium formation via plasma membrane fusion
GO_0060141	positive regulation of syncytium formation by virus	syncytium formation induced by viral infection
NCBITaxon_240553	SARS coronavirus TWY	SARS coronavirus TWY
NCBITaxon_240552	SARS coronavirus TWS	SARS coronavirus TWS
NCBITaxon_240551	SARS coronavirus TWK	SARS coronavirus TWK
NCBITaxon_260069	SARS coronavirus HC/SZ/61/03	SARS coronavirus HC/SZ/61/03
NCBITaxon_230522	SARS coronavirus Taiwan JC-2003	SARS coronavirus Taiwan JC-2003
NCBITaxon_252654	SARS coronavirus BJ302	SARS coronavirus BJ302
GO_0075510	macropinocytosis involved in viral entry into host cell	macropinocytosis involved in viral entry into host cell
GO_0019085	early viral transcription	early viral transcription
GO_0019086	late viral transcription	late viral transcription
GO_0019083	viral transcription	viral transcription
NCBITaxon_262338	SARS coronavirus GD03T0013	SARS coronavirus GD03T0013
GO_0019084	middle viral transcription	middle viral transcription
GO_0019081	viral translation	viral protein synthesis | viral protein biosynthetic process | viral protein biosynthesis | viral protein formation | viral protein anabolism
GO_0019082	viral protein processing	viral protein processing
GO_0019080	viral gene expression	viral genome expression
NCBITaxon_264990	SARS coronavirus sf098	SARS coronavirus sf098
NCBITaxon_239242	SARS coronavirus CUHK-AG02	SARS coronavirus CUHK-AG02
NCBITaxon_239241	SARS coronavirus CUHK-AG01	SARS coronavirus CUHK-AG01
NCBITaxon_239243	SARS coronavirus CUHK-AG03	SARS coronavirus CUHK-AG03
NCBITaxon_1283333	Bat coronavirus Cp/Yunnan2011	Bat coronavirus Cp/Yunnan2011
GO_0019079	viral genome replication	viral genome replication
NCBITaxon_1283332	Bat coronavirus Rp/Shaanxi2011	Bat coronavirus Rp/Shaanxi2011
GO_0019076	viral release from host cell	viral release | viral exit | virus exit from host cell | viral shedding | release of virus from host
GO_0098994	disruption of host cell envelope during viral entry	disruption of host cell envelope during viral entry
GO_0098995	disruption by virus of host envelope lipopolysaccharide during virus entry	degradation of host lipopolysaccharide during virus entry | degradation of host cell envelope lipopolysaccharide during viral entry
NCBITaxon_231519	SARS coronavirus HKU-36871	SARS coronavirus HKU-36871
NCBITaxon_231517	SARS coronavirus GZ43	SARS coronavirus GZ43
NCBITaxon_231518	SARS coronavirus GZ60	SARS coronavirus GZ60
NCBITaxon_231515	Civet SARS CoV SZ16/2003	Civet SARS CoV SZ16/2003
NCBITaxon_231516	SARS coronavirus SZ1	SARS coronavirus SZ1
NCBITaxon_231513	Civet SARS CoV SZ3/2003	Civet SARS CoV SZ3/2003
NCBITaxon_231514	SARS coronavirus SZ13	SARS coronavirus SZ13
GO_0019089	transmission of virus	viral transmission
GO_0075530	establishment of latency as a linear episome	establishment of latency as a linear plasmid | establishment of linear plasmid latency
GO_0019087	transformation of host cell by virus	viral transformation | viral transformation of host cell
GO_0098996	disruption of host cell glycocalyx during viral entry	degradation of host glycocalyx during viral entry | degradation of host capsule during virus entry | catabolism of host glycocalyx during viral entry | disassembly of glycocalyx during viral entry
GO_0019088	immortalization of host cell by virus	viral immortalization
GO_0098997	fusion of virus membrane with host outer membrane	viral envelope fusion with host outer membrane
NCBITaxon_235173	SARS coronavirus Shanhgai LY	SARS coronavirus Shanhgai LY
NCBITaxon_1699361	Bat SARS-like coronavirus YNLF_34C	Bat SARS-like coronavirus YNLF_34C
NCBITaxon_1699360	Bat SARS-like coronavirus YNLF_31C	Bat SARS-like coronavirus YNLF_31C
GO_0039588	suppression by virus of host antigen processing and presentation	inhibition of host proteasome antigen processing by virus
GO_0055036	virion membrane	virion membrane
GO_0039580	suppression by virus of host PKR activity	suppression by virus of host EIF2AK2 activity
GO_0039586	modulation by virus of host PP1 activity	modulation of host PP1 activity by virus | regulation by virus of host PP1 activity
GO_0039587	suppression by virus of host tetherin activity	inhibition of host BST2/Tetherin by virus | suppression by virus of host BST-2 activity
GO_0039584	suppression by virus of host protein kinase activity	suppression by virus of host protein kinase activity
NCBITaxon_264989	SARS coronavirus cw049	SARS coronavirus cw049
NCBITaxon_264988	SARS coronavirus sf099	SARS coronavirus sf099
GO_0008979	prophage integrase activity	integrase activity involved in establishment of integrated proviral latency
NCBITaxon_247149	SARS coronavirus WHU	SARS coronavirus WHU
NCBITaxon_228406	SARS coronavirus BJ02	SARS coronavirus BJ02
GO_0039579	suppression by virus of host ISG15 activity	suppression by virus of host ISG15 activity
NCBITaxon_228404	SARS coronavirus HKU-39849	SARS coronavirus HKU-39849
NCBITaxon_248485	SARS coronavirus AS	SARS coronavirus AS
GO_0039699	viral mRNA cap methylation	IFIT mRNA restriction evasion by virus
NCBITaxon_228409	SARS coronavirus BJ03	SARS coronavirus BJ03
NCBITaxon_228407	SARS coronavirus BJ01	SARS coronavirus BJ01
GO_0039692	single stranded viral RNA replication via double stranded DNA intermediate	retroviral genome replication
GO_0039693	viral DNA genome replication	DNA-dependent viral DNA replication | viral DNA replication | viral DNA-dependent DNA replication
GO_0039690	positive stranded viral RNA replication	positive stranded viral RNA replication
GO_0039691	double stranded viral RNA replication	double stranded viral RNA replication
GO_0039696	RNA-templated viral transcription	RNA-templated viral transcription
GO_0039697	negative stranded viral RNA transcription	negative stranded viral RNA transcription
GO_0039576	suppression by virus of host JAK1 activity	negative regulation by virus of host JAK | suppression by virus of host janus kinase 1 activity
GO_0039573	suppression by virus of host complement activation	inhibition of host complement cascade by virus | inhibition of host complement activation by virus
GO_0039694	viral RNA genome replication	viral RNA genome replication
GO_0039574	suppression by virus of host TYK2 activity	suppression by virus of host non-receptor tyrosine-protein kinase TYK2 activity
GO_0039695	DNA-templated viral transcription	DNA-templated viral transcription
NCBITaxon_1431340	SARS bat coronavirus	SARS bat coronavirus
NCBITaxon_240549	SARS coronavirus TWH	SARS coronavirus TWH
NCBITaxon_229993	SARS coronavirus TW1	SARS coronavirus TW1
NCBITaxon_229992	SARS coronavirus Frankfurt 1	SARS coronavirus Frankfurt 1
GO_0039689	negative stranded viral RNA replication	(-)ss viral RNA replication
NCBITaxon_228415	SARS coronavirus CUHK-W1	SARS coronavirus CUHK-W1
GO_0039687	viral DNA strand displacement replication	viral DNA strand displacement replication
GO_0039688	viral double stranded DNA replication via reverse transcription	dsDNA replication via RNA intermediate | viral RNA-dependent DNA replication
GO_0039560	suppression by virus of host IRF9 activity	inhibition of host IRF9 by virus | inhibition of host interferon regulatory factor-9 by virus | suppression by virus of host interferon regulatory factor 9 activity
GO_0039682	rolling circle viral DNA replication	rolling circle viral DNA replication
GO_0039680	actin-dependent intracellular transport of virus towards nucleus	actin-dependent inwards viral transport | actin-dependent intracellular transport of viral material towards nucleus
GO_0039564	suppression by virus of host STAT2 activity	Inhibition of host STAT2 by virus
GO_0039685	rolling hairpin viral DNA replication	ssDNA rolling hairpin viral DNA replication
GO_0039686	bidirectional double-stranded viral DNA replication	viral bidirectional dsDNA replication
GO_0039562	suppression by virus of host STAT activity	suppression by virus of host signal transducer and activator of transcription activity
NCBITaxon_1415852	Bat SARS-like coronavirus WIV1	Bat SARS-like coronavirus WIV1
GO_0039683	rolling circle double-stranded viral DNA replication	dsDNA rolling circle replication
GO_0039563	suppression by virus of host STAT1 activity	suppression by virus of host STAT1 activity
GO_0039684	rolling circle single-stranded viral DNA replication	ssDNA rolling circle replication
NCBITaxon_1415851	Bat SARS-like coronavirus RsSHC014	Bat SARS-like coronavirus RsSHC014
NCBITaxon_284672	SARS coronavirus TJF	SARS coronavirus TJF
NCBITaxon_243925	SARS coronavirus HPZ-2003	SARS coronavirus HPZ-2003
NCBITaxon_241628	SARS coronavirus TWC2	SARS coronavirus TWC2
NCBITaxon_235088	SARS coronavirus HSR 1	SARS coronavirus HSR 1
NCBITaxon_241629	SARS coronavirus TWC3	SARS coronavirus TWC3
NCBITaxon_344702	SARS coronavirus ZJ0301	SARS coronavirus ZJ0301
GO_0039557	suppression by virus of host IRF7 activity	inhibition of host IRF7 by virus | suppression by virus of host interferon regulatory factor 7 activity | inhibition of host interferon regulatory factor-7 by virus
GO_0039678	viral genome ejection through host cell envelope	viral genome ejection through host cell envelope
GO_0039677	exit of virus from host cell nucleus via nuclear envelope disassembly	exit of virus from host cell nucleus via nuclear envelope breakdown
GO_0039670	viral capsid, turret	viral capsid, turret
GO_0039671	evasion by virus of host natural killer cell activity	suppression by virus of host natural killer cell function | viral immunoevasion of host NK cell | protection by virus against host NK cell cytotoxicity | evasion by virus of host NK cell killing | evasion by virus of host natural killer cell response
GO_0039553	suppression by virus of host chemokine activity	negative regulation by virus of host chemokine activity | down-regulation by virus of host chemokine activity | downregulation by virus of host chemokine activity
GO_0039674	exit of virus from host cell nucleus	exit of virus from host cell nucleus
GO_0039675	exit of virus from host cell nucleus through nuclear pore	exit of virus from host cell nucleus through nuclear pore complex | nuclear pore exit of virus | viral enome export through nuclear pore
GO_0039554	suppression by virus of host MDA-5 activity	Inhibition of host MDA5 by virus
GO_0039672	suppression by virus of host natural killer cell activation	suppression by virus of host NK-cell activation
GO_0039673	evasion by virus of host dendritic cell activity	impairing dendritic cell function by virus | evasion by virus of host dendritic cell response
NCBITaxon_1415834	Bat SARS-like coronavirus Rs3367	Bat SARS-like coronavirus Rs3367
NCBITaxon_633140	SARS coronavirus MA15 ExoN1	SARS coronavirus MA15 ExoN1
GO_0039667	viral entry into host cell via pilus retraction	viral entry into host cell via pilus retraction
GO_0039668	viral entry into host cell via pilus basal pore	viral entry into host cell via pilus basal pore
GO_0039547	suppression by virus of host TRAF activity	inhibition of host TRAFs by virus
NCBITaxon_633137	SARS coronavirus MA15	Urbani derived
GO_0039665	permeabilization of host organelle membrane involved in viral entry into host cell	viral penetration via host endosomal membrane disruption by virus | viral penetration via permeabilization of host organellar membrane | viral penetration via perforation of host organellar membrane by virus
GO_0039666	virion attachment to host cell pilus	pilus-adsorption protein
GO_0039545	suppression by virus of host MAVS activity	inhibition of host MAVS by virus | suppression by virus of host mitochondrial antiviral-signaling protein
GO_0061765	modulation by virus of host NIK/NF-kappaB signaling	modulation by virus of host NIK/NF-kappaB signaling
GO_0140267	viral entry via permeabilization of host membrane	viral entry via permeabilization of host membrane
GO_0039669	viral entry into host cell via pilus retraction and membrane fusion	viral entry into host cell via pilus retraction and membrane fusion
GO_0039548	suppression by virus of host IRF3 activity	inhibition of host IRF3 by virus | suppression by virus of host interferon regulatory factor 3
GO_0039663	membrane fusion involved in viral entry into host cell	membrane fusion involved in viral entry into host cell
GO_0039664	lysis of host organelle involved in viral entry into host cell	viral penetration via lysis of host organellar membrane
GO_0039540	suppression by virus of host RIG-I activity	inhibition of host DDX58/RIG-I by virus | inhibition by virus of host DDX58 activity
NCBITaxon_273522	SARS coronavirus LLJ-2004	SARS coronavirus LLJ-2004
NCBITaxon_227998	SARS coronavirus Hong Kong/03/2003	SARS coronavirus Hong Kong/03/2003
GO_0039656	modulation by virus of host gene expression	modulation by virus of host gene expression
GO_0039657	suppression by virus of host gene expression	host gene expression shutoff by virus
GO_0039654	fusion of virus membrane with host endosome membrane	fusion of virus membrane with host endosomal membrane
GO_0039539	suppression by virus of host MDA-5 signaling pathway	suppression by virus of host IFIH1 signaling pathway | suppression by virus of host MDA-5 signalling pathway | inhibition by virus of host MDA-5 signaling
NCBITaxon_228607	SARS coronavirus BJ04	SARS coronavirus BJ04
GO_0039537	suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway	suppression by virus of host cytoplasmic pattern recognition receptor signaling pathway in response to virus | suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signalling pathway
GO_0039538	suppression by virus of host RIG-I signaling pathway	inhibition by virus of host RIG-I signaling | suppression by virus of host RIG-I signalling pathway | suppression by virus of host DDX58 signaling pathway
GO_0039652	activation by virus of host NF-kappaB transcription factor activity	activation of host NF-kappa-B by virus
GO_0098932	disruption by virus of host cell wall peptidoglycan during virus entry	degradation of host peptidoglycans during virus entry | disassembly by virus of host cell wall peptidoglycan | catabolism of host cell wall peptidoglycan by virus | degradation of host cell wall peptidoglycan by virus
GO_0039653	suppression by virus of host transcription	suppression by virus of host DNA-dependent transcription
GO_0039650	suppression by virus of host cysteine-type endopeptidase activity involved in apoptotic process	suppression by virus of host cysteine-type endopeptidase activity involved in apoptotic process
GO_0039651	induction by virus of host cysteine-type endopeptidase activity involved in apoptotic process	induction by virus of host cysteine-type endopeptidase activity involved in apoptotic process
GO_0098931	virion attachment to host cell flagellum	virion attachment to host cell flagellum
NCBITaxon_260550	SARS coronavirus CUHK-L2	SARS coronavirus CUHK-L2
NCBITaxon_239758	SARS coronavirus Taiwan TC3	SARS coronavirus Taiwan TC3
GO_0039524	suppression by virus of host mRNA processing	inhibition of host pre-mRNA processing by virus | inhibition of host mRNA processing by virus | inhibition by virus of host mRNA processing
GO_0039645	modulation by virus of host G1/S transition checkpoint	G1/S host cell cycle checkpoint dysregulation by virus
GO_0039525	modulation by virus of host chromatin organization	modulation by virus of host chromatin organisation | modulation of host chromatin by virus | modulation of host chromatin structure by virus
GO_0039646	modulation by virus of host G0/G1 transition checkpoint	G0/G1 host cell cycle checkpoint dysregulation by virus
GO_0039522	suppression by virus of host mRNA export from nucleus	inhibition of host mRNA nuclear export by virus | suppression of host mRNA nuclear export by virus | inhibition by virus of host mRNA nuclear export
GO_0039523	suppression by virus of host RNA polymerase II activity	inhibition of host RNA polymerase II activity by virus | inhibition of host RNA polymerase II by virus
GO_0039644	suppression by virus of host NF-kappaB transcription factor activity	inhibition of host NF-kappa-B by virus
GO_0039649	modulation by virus of host ubiquitin-protein ligase activity	modulation by virus of host ubiquitin-protein ligase activity
GO_0039647	suppression by virus of host poly(A)-binding protein activity	inhibition of host poly(A)-binding protein by virus | suppression by virus of host PABP activity
GO_0039526	modulation by virus of host apoptotic process	modulation of host cell apoptosis by virus | regulation by virus of host apoptosis | modulation by virus of host apoptosis
GO_0039527	suppression by virus of host TRAF-mediated signal transduction	inhibition of host TRAF-mediated signal transduction by virus | suppression by virus of host tumor necrosis factor receptor-associated factor signaling
GO_0039648	modulation by virus of host protein ubiquitination	modulation by virus of host protein ubiquitination
GO_0039520	induction by virus of host autophagy	activation of host autophagy by virus
GO_0039641	viral inner membrane	virion inner membrane
GO_0039521	suppression by virus of host autophagy	inhibition of host autophagy by virus | inhibition by virus of host autophagy
GO_0039642	virion nucleoid	virion nucleoid
GO_0039640	cytolysis by virus via suppression of host peptidoglycan biosynthetic process	cytolysis by virus via suppression of host peptidoglycan biosynthetic process
GO_0039519	modulation by virus of host autophagy	regulation by virus of host autophagy
